,UniProt ID,PDB ID,pdbid,membrane_name_cache
1904,O60931,PDB IDs: 8dke,8dke,Lysosome
1905,A0A1Y0Q3C0,PDB IDs: 7efo,7efo,Gram-neg. inner
1906,Q8WWI5,PDB IDs: 7wwb,7wwb,Eykaryo. plasma
1908,Q1LJU1,PDB IDs: 7tpg,7tpg,Gram-neg. inner
1909,O50330,PDB IDs: 7oiu,7oiu,Gram-neg. outer
1910,O50337,PDB IDs: 7o3j,7o3j,Gram-neg. outer
1911,Q8KNL7,PDB IDs: 7spc,7spc,Gram-neg. outer
1912,Q47453,PDB IDs: 7pge,7pge,Gram-neg. outer
1913,C3TPJ2,PDB IDs: 7ojf,7ojf,Gram-neg. outer
1914,P44543,PDB IDs: 7qe5,7qe5,Gram-neg. inner
1915,Q8NBN3,PDB IDs: 8ctj,8ctj,Golgi
1916,D3KZG3,PDB IDs: 7usw,7usw,Eykaryo. plasma
1917,Q5HYA8,PDB IDs: 7fh1,7fh1,Eykaryo. plasma
1918,Q57038,PDB IDs: 7r0w,7r0w,Thylakoid
1919,Q9SJE9,PDB IDs: 7voj,7voj,Eykaryo. plasma
1920,I1J9K0,PDB IDs: 7w6k,7w6k,Eykaryo. plasma
1921,P0AB58,PDB IDs: 7t6d,7t6d,Gram-neg. inner
1922,F7IVA8,PDB IDs: 7pgf,7pgf,Gram-neg. inner
1923,P08069,PDB IDs: 7ph8,7ph8,Eykaryo. plasma
1924,D6QLY2,PDB IDs: 7pzf,7pzf,Gram-neg. outer
1925,P17302,PDB IDs: 7f92,7f92,Eykaryo. plasma
1926,Q14028,PDB IDs: 7rh9,7rh9,Eykaryo. plasma
1927,Q03720,PDB IDs: 7pxe,7pxe,Eykaryo. plasma
1928,P22756,PDB IDs: 7lvt,7lvt,Eykaryo. plasma
1929,Q14832,PDB IDs: 7wi6,7wi6,Eykaryo. plasma
1930,P14672,PDB IDs: 7wsm,7wsm,Eykaryo. plasma
1931,Q9P0X4,PDB IDs: 7wli,7wli,Eykaryo. plasma
1932,P54284,PDB IDs: 7uhg,7uhg,Eykaryo. plasma
1933,P06028,PDB IDs: 8crt,8crt,Eykaryo. plasma
1934,Q6Z2T3,PDB IDs: 7cjs,7cjs,Eykaryo. plasma
1935,M1K561,PDB IDs: 7w7r,7w7r,Eykaryo. plasma
1936,Q9NQ11,PDB IDs: 7m5v,7m5v,Lysosome
1937,P10747,PDB IDs: 7vu5,7vu5,Eykaryo. plasma
1938,P40527,PDB IDs: 7rd6,7rd6,Golgi
1939,C0LJI4,PDB IDs: 7s4m,7s4m,Gram-neg. inner
